Unit,Supplier Code,Vendor Organization / Business Name,First Name,Last Name,Email Address,Diversity Status,Phone Number,Job Category,Type Of User,Status
EBS,,"Acara Solutions,  Inc.",,,southerlant@superiorgroup.com,,(800) 568-8310,,,Active
EBS,,Aerospace & Defense Technical LLC.,,,hwest@ussjobs.com,,8605278135,,,Active
EBS,,Aerospace Solutions LLC dba Minnetonka Holdings LLC,,,g.truso@aerospace-solutions.com,,602-354-8180,Administrative/Clerical,,Active
EBS,,Aerotek Inc,,,tojones@aerotek.com,,954-717-3549,,,Active
EBS,,Bentley Global Resources LLC,,,christopher@bentleystaffing.com,,813-510-3039,Administrative/Clerical,,Active
EBS,,Chipton Ross,,,jsaldarriaga@chiptonross.com,,310-414-7800 x200,,,Active
EBS,,"Computer Staffing Services, LLC",,,tom@cssstaffing.com,,3027374920,,,Active
EBS,,Computer Task Group (CTG),,,marcy.rychlewski@ctg.com,,800-992-5350,Technical/Professional,,Active
EBS,,Digital Intelligence System LLC,,,Lockheed@disys.com,,818-481-5556,Administrative/Clerical,,Active
EBS,,Donatech Corp.,,,snayak@donatech.com,,(641) 472-7474 x108,Administrative/Clerical,,Active
EBS,,GDKN Corporation,,,dharris-gill@gdkn.com,,9549856650,,,Active
EBS,,"Global Technical Services, Inc",,,kboner@teamglobal.com,,8009422376,,,Active
EBS,,HCL Global Systems Inc.,,,gadde@hclglobal.com,,248 473 0720,Engineering,,Active
EBS,,"Hi-Tek Professionals, Inc.",,,htp@hitekprofessionals.com,,610-534-8701,,,Active
EBS,,Iconma,,,ACCOUNTING@ICONMA.COM,,888-451-2519,Administrative/Clerical,,Active
EBS,,Indotronix International Corporation,,,bala@iic.com,,6092848765,Administrative/Clerical,,Active
EBS,,"INDU, LLC D/B/A INTIGROW",,,mike@intigrow.com,,6782484942,,,Active
EBS,,Johnson Service Group,,,rgeil@jsginc.com,,817-545-4009,Administrative/Clerical,,Active
EBS,,LanceSoft Inc,,,prashant@lancesoft.com,,703-889-6580 1131,Light Industrial,,Active
EBS,,"Method360, Inc.",,,aturner@3pro.com,,972-800-5149,Information Technology,,Active
EBS,,Mindlance Inc.,,,dgodinez@mindlance.com,,2013865400,,,Active
EBS,,Motion Recruitment Partners LLC,,,jennifer.setter@motionrp.com,,617 585 6500,Information Technology,,Active
EBS,,"PDS Tech, Inc.",,,nationalaccountteam@pdstech.com,,214-647-9600,Administrative/Clerical,,Active
EBS,,"Pitisci & Associates, LLC",,,cpitisci@tampastaff.com,,813-340-7940,Administrative/Clerical,,Active
EBS,,"RCM Technologies, Inc.",,,wesley.forster@rcmt.com,,4013156453,,,Active
EBS,,Rose International Inc,,,lockheedmartin@roseit.com,,6368124000,Engineering,,Active
EBS,,SAMITI TECHNOLOGY INC,,,Taz@samitimail.com,,7325160066,,,Active
EBS,,Software Galaxy Systems LLC,,,srini.vengad@sgsconsulting.com,,609-919-1133,,,Active
EBS,,"Softworld , Inc.",,,rgreenstein@softworldinc.com,,781-373-8400,Engineering,,Active
EBS,,Sun Technologies,,,raniyah@suntechnologies.com,,(770) 418-0630  Ext.,,,Active
EBS,,TAD PGS Inc,,,steve.ehnstrom@natljobs.com,,800-666-5601,Technical/Professional,,Active
EBS,,"The Panther Group, Inc.",,,cbarrett@b3kc.com,,8007760562,,,Active
EBS,,US Tech Solutions Inc,,,pbraccio@ustechsolutions.com,,484-221-0616,Administrative/Clerical,,Active
EBS,,Workspend INC,,,payroll@workspend.com,,2015249600 - 7355,Engineering,,Active
EBS,,Workspend Payroll LLC,,,Sbhaskaran@workspend.com,,2019321338,Administrative/Clerical,,Active
MFC,,"Acara Solutions,  Inc.",,,southerlant@superiorgroup.com,,(800) 568-8310,Software / IT,,Active
MFC,,ACRO Service Corp,,,awoods@acrocorp.com,,734-542-4320,Technical,,Active
MFC,,Aerospace Solutions LLC dba Minnetonka Holdings LLC,,,g.truso@aerospace-solutions.com,,602-354-8180,Administrative,,Active
MFC,,Aerotek Inc,,,tojones@aerotek.com,,954-717-3549,Technical,,Active
MFC,,Bentley Global Resources LLC,,,christopher@bentleystaffing.com,,813-510-3039,Light Industrial,,Active
MFC,,"Capital Staffing Solutions, Inc",,,wdavis@capitalstaffingsolutions.com,,904-395-8352,Software / IT,,Active
MFC,,Chipton Ross,,,jsaldarriaga@chiptonross.com,,310-414-7800 x200,Technical,,Active
MFC,,ClearPlan LLC,,,glenpascale@clearplanconsulting.com,,5086674292,Administrative,,Active
MFC,,Collier Investments Inc dba Manpower,,,mpower99@bellsouth.net,,318-965-4242,Light Industrial,,Active
MFC,,"Computer Staffing Services, LLC",,,tom@cssstaffing.com,,3027374920,Technical,,Active
MFC,,Cornerstone Technical Consulting LLC,,,marshall@cornerstonetek.com,,512-436-9124,Engineering,,Active
MFC,,Datrose Industries,,,wjones@datrose.com,,585-217-0240,Technical,,Active
MFC,,Donatech Corp.,,,snayak@donatech.com,,(641) 472-7474 x108,Technical,,Active
MFC,,Employers Staffing Services of Camden Inc,,,camden@esa-staffing.com,,870-818-2217,Light Industrial,,Active
MFC,,"Express Services, Inc. dba Express Employment Professionals",,,regena.gresham@expresspros.com,,(251) 476-8210,Technical,,Active
MFC,,GDKN Corporation,,,dharris-gill@gdkn.com,,9549856650,Technical,,Active
MFC,,"Global Technical Services, Inc",,,Skostelecky@teamglobal.com,,8178476673,Technical,,Active
MFC,,"Hi-Tek Professionals, Inc.",,,htp@hitekprofessionals.com,,6105342436,Technical,,Active
MFC,,Iconma,,,ACCOUNTING@ICONMA.COM,,888-451-2519,Technical,,Active
MFC,,Indotronix International Corporation,,,bala@iic.com,,6092848765,Light Industrial,,Active
MFC,,"INDU, LLC D/B/A INTIGROW",,,mike@intigrow.com,,6782484942,Technical,,Active
MFC,,Johnson Service Group,,,rgeil@jsginc.com,,817-545-4009,Technical,,Active
MFC,,LanceSoft Inc,,,prashant@lancesoft.com,,703-889-6580 1131,Administrative,,Active
MFC,,"PDS Tech, Inc.",,,clee@pdstech.com,,214-647-9600,Administrative,,Active
MFC,,PGS Worldwide LLC,,,sean@pgsworldwide.com,,816-651-4603,Technical,,Active
MFC,,Prime Technical Services Inc.,,,cscurry@prime-ts.com,,678-585-4822,Software / IT,,Active
MFC,,"Professional Solutions Company International, LLC",,,tbrogdon@prosolco.com,,228-344-5449,Engineering,,Active
MFC,,Rose International Inc,,,lockheedmartin@roseint.com,,6368124000 2053,Technical,,Active
MFC,,Software Galaxy Systems LLC,,,srini.vengad@sgsconsulting.com,,609-919-1133,Technical,,Active
MFC,,"Softworld , Inc.",,,rgreenstein@softworldinc.com,,781-373-8400,Engineering,,Active
MFC,,STEM Talent Solution,,,judy@stemts.com,,513-335-9645,Technical,,Active
MFC,,Sun Technologies,,,raniyah@suntechnologies.com,,(770) 418-0630  Ext.,Technical,,Active
MFC,,"System One Holdings, LLC dba Joule Inc",,,crobbins@jouleinc.com,,6109152079,Administrative,,Active
MFC,,TAD PGS Inc,,,steve.ehnstrom@natljobs.com,,800-666-5601,Technical,,Active
MFC,,"The Panther Group, Inc.",,,rkirk@thepanthergroup.com,,800-776-0562,Administrative,,Active
MFC,,Unitek Technical Services,,,robyn.fennell@nts.com,,703-961-9902,Engineering,,Active
MFC,,US Tech Solutions Inc,,,pbraccio@ustechsolutions.com,,484-221-0616,Administrative,,Active
MFC,,Workspend INC,,,payroll@workspend.com,,2015249600 7355,Administrative,,Active
MFC,,Workspend Payroll LLC,,,Sbhaskaran@workspend.com,,2019321338,Administrative,,Active
STGEN,,"Acara Solutions,  Inc.",,,southerlant@superiorgroup.com,,(800) 568-8310,,,Active
STGEN,,ACS Group,,,jenna.castrovillari@acsicorp.com,,201-960-7576,,,Active
STGEN,,Bentley Global Resources LLC,,,christopher@bentleystaffing.com,,813-510-3039,Technical,,Active
STGEN,,Chipton Ross,,,jsaldarriaga@chiptonross.com,,310-414-7800 x200,,,Active
STGEN,,Computer Task Group (CTG),,,marcy.rychlewski@ctg.com,,"800-992-5350, ext. 4",,,Active
STGEN,,"DIVERSANT, LLC",,,kclewes@diversant.com,,484-446-0224,,,Active
STGEN,,Donatech Corp.,,,snayak@donatech.com,,(641) 472-7474 x108,,,Active
STGEN,,"Global Contract Professionals, Inc.",,,rfry@teamglobal.com,,(800) 942-2376  Ext.,,,Active
STGEN,,Indotronix International Corporation,,,bala@iic.com,,6092848765,,,Active
STGEN,,"INDU, LLC D/B/A INTIGROW",,,mike@intigrow.com,,6782484942,,,Active
STGEN,,Midcom,,,david.wilkinson@midcom.com,,714-630-1999,,,Active
STGEN,,Mindlance Inc.,,,dgodinez@mindlance.com,,2013865400,,,Active
STGEN,,Newtown Solutions,,,andrean@newtownsolutions.com,,(952) 440-4400,,,Active
STGEN,,Sparks,,,cbrown@sparksitsolutions.com,,703-466-5044,,,Active
STGEN,,Sun Technologies,,,raniyah@suntechnologies.com,,(770) 418-0630  Ext.,,,Active
STGEN,,Sysdyne Corporation,,,,,(952) 541-9889  Ext. 0000,,,Active
STGEN,,Test Supplier's Inc.,,,testsupplier@dcrworkforce.com,,5619983737,,,Active
STGEN,,"Varite, Inc.",,,adarsh@varite.com,,408-977-0700 ,,,Active
STGEN,,Workspend Payroll LLC,,,Sbhaskaran@workspend.com,,2019321338,Business Development,,Active
STGEN,,Yoh Services,,,supplier@yoh.com,,(000) 000-0000,,,Active
STTTM,,"Acara Solutions,  Inc.",,,southerlant@superiorgroup.com,,(800) 568-8310,,,Active
STTTM,,ACRO Service Corp,,,awoods@acrocorp.com,,734-542-4320,,,Active
STTTM,,Alt Enterprises,,,,,(301) 654-6632  Ext. 0000,,,Active
STTTM,,Chipton Ross,,,jsaldarriaga@chiptonross.com,,310-414-7800 x200,,,Active
STTTM,,D and R Technical Solutions,,,postoffice@dandr.us,,607-754-2200,,,Active
STTTM,,"Global Contract Professionals, Inc.",,,rfry@teamglobal.com,,(800) 942-2376  Ext.,,,Active
STTTM,,Indotronix International Corporation,,,bala@iic.com,,6092848765,Technical Services,,Active
STTTM,,"INDU, LLC D/B/A INTIGROW",,,mike@intigrow.com,,6782484942,,,Active
STTTM,,Johnson Service Group,,,rgeil@jsginc.com,,817-545-4009,,,Active
STTTM,,"Keith Nichols, PLLC",,,keith.nichols@lmco.com,,111-111-1111,,,Active
STTTM,,Midcom,,,david.wilkinson@midcom.com,,714-630-1999,,,Active
STTTM,,Software Galaxy Systems LLC,,,srini.vengad@sgsconsulting.com,,609-919-1133,,,Active
STTTM,,Sun Technologies,,,raniyah@suntechnologies.com,,(770) 418-0630  Ext.,,,Active
STTTM,,Workspend INC,,,payroll@workspend.com,,2015249600 - 7355,HR,,Active
STTTM,,Workspend Payroll LLC,,,Sbhaskaran@workspend.com,,2019321338,Technical Services,,Active
STTTM,,Yoh Services,,,,,(000) 000-0000  Ext. 0000,,,Active
